LOCATION,2017,2018,2019,2020
Australia,27.2 ,24.8 ,24.6 ,
Austria,26.2 ,25.8 ,26.5 ,
Belgium,34.4 ,34.4 ,34.1 ,35.3 
Canada,,19.5 ,,
Chile,1.4 ,0.4 ,,
Costa Rica,7.9 ,3.7 ,3.0 ,3.1 
Czech Republic,22.9 ,23.0 ,22.8 ,22.4 
Denmark,28.8 ,32.3 ,33.5 ,35.6 
Estonia,25.7 ,25.8 ,30.3 ,30.3 
Finland,27.4 ,29.1 ,29.3 ,28.1 
France,24.3 ,24.8 ,23.6 ,22.8 
Germany,49.0 ,49.2 ,48.0 ,47.8 
Greece,14.7 ,15.0 ,16.0 ,
Hungary,26.9 ,29.0 ,26.5 ,22.2 
Iceland,19.0 ,20.6 ,,
Ireland,32.0 ,29.7 ,28.2 ,
Israel,7.2 ,6.9 ,6.8 ,6.4 
Italy,30.5 ,31.6 ,32.5 ,
Japan,19.8 ,19.6 ,19.2 ,
Korea,60.6 ,61.6 ,56.5 ,
Latvia,19.2 ,22.2 ,35.4 ,34.0 
Lithuania,24.4 ,27.0 ,31.3 ,27.5 
Luxembourg,29.7 ,29.7 ,29.7 ,29.3 
Netherlands,26.5 ,27.2 ,27.7 ,27.7 
Norway,28.8 ,31.0 ,29.9 ,35.3 
Poland,26.7 ,26.2 ,25.0 ,26.7 
Portugal,12.6 ,12.8 ,12.8 ,13.3 
Slovak Republic,21.1 ,26.8 ,26.9 ,28.6 
Slovenia,53.3 ,53.9 ,51.5 ,56.8 
Spain,18.3 ,18.0 ,19.7 ,18.9 
Sweden,31.3 ,29.9 ,32.5 ,20.3 
Switzerland,30.8 ,30.9 ,29.9 ,29.8 
Turkey,9.3 ,11.9 ,11.9 ,
United Kingdom,26.9 ,27.1 ,26.9 ,25.8 
United States,24.9 ,23.6 ,,
